order_item_id,order_id,product_id,quantity,unit_price
1,1,7880,3,583.14
2,1,4281,3,764.75
3,1,674,2,986.79
4,1,11219,3,207.6
5,1,1492,3,720.42
6,2,15578,3,949.36
7,2,7450,2,532.87
8,2,6171,3,741.37
9,2,16235,2,738.31
10,2,15363,3,150.83
11,3,13940,3,260.36
12,3,11349,3,520.22
13,3,5788,3,622.87
14,3,7229,3,635.57
15,3,6289,1,307.01
16,4,2846,2,237.66
17,4,5909,2,127.57
18,4,15192,3,260.29
19,4,7310,2,625.28
20,5,14618,1,234.5
21,5,19446,3,79.36
22,5,1365,3,123.51
23,5,10952,2,208.29
24,5,7664,1,446.52
25,6,6844,1,689.03
26,6,11701,3,668.05
27,6,14527,1,635.31
28,7,1657,2,597.7
29,7,6708,3,319.6
30,7,2120,2,12.97
31,8,10622,2,268.89
32,8,3849,1,966.72
33,9,5907,1,832.14
34,9,17246,1,664.61
35,9,13162,3,226.35
36,10,13663,3,771.51
37,10,17934,3,305.76
38,10,15835,1,297.66
39,10,8082,3,554.0
40,11,17901,3,629.78
41,11,19273,3,961.01
42,11,17406,2,312.27
43,12,381,3,751.77
44,13,525,3,941.51
45,13,19375,2,889.67
46,13,14622,2,463.51
47,13,2361,1,816.77
48,14,11104,1,444.86
49,14,14804,2,435.58
50,14,12318,1,835.07
51,14,1349,2,929.11
52,14,4148,2,591.5
53,15,2674,3,557.06
54,15,18393,2,100.27
55,16,19779,1,407.49
56,16,5231,2,600.17
57,17,8051,2,855.31
58,17,15910,2,48.06
59,17,16305,2,106.75
60,17,16389,2,574.14
61,17,652,3,505.65
62,18,2961,3,999.73
63,18,17396,1,418.96
64,18,15060,3,120.77
65,18,14610,2,742.05
66,18,10245,3,820.09
67,19,2900,2,462.37
68,19,16098,1,396.68
69,19,3906,2,925.04
70,20,7486,1,145.48
71,20,2175,2,534.53
72,20,9693,1,551.14
73,20,14336,1,411.45
74,20,1180,3,303.93
75,21,13251,3,445.62
76,22,5350,1,49.02
77,22,16824,1,530.72
78,22,4047,1,466.74
79,23,15234,2,151.33
80,23,10080,1,205.46
81,23,12129,1,517.08
82,23,9044,1,612.78
83,23,3918,1,793.44
84,24,8618,3,717.74
85,24,18989,1,889.18
86,24,2983,2,428.98
87,24,13332,2,697.46
88,24,3750,2,161.71
89,25,6955,2,146.14
90,25,684,3,723.54
91,25,12135,1,736.99
92,25,2995,2,282.13
93,25,5816,1,942.95
94,26,6457,2,818.14
95,26,13765,3,396.86
96,26,11052,2,975.67
97,26,14803,1,209.39
98,27,225,1,585.73
99,27,17289,2,25.63
100,28,12023,1,413.0
101,28,18014,1,253.77
102,28,17440,1,747.49
103,29,11599,2,576.66
104,29,14934,3,397.43
105,30,19842,2,766.49
106,30,15924,3,870.2
107,31,2575,3,704.0
108,32,7383,1,807.37
109,32,5611,1,654.27
110,32,4905,1,330.53
111,32,4546,2,700.16
112,32,2974,3,841.32
113,33,1988,1,279.34
114,34,7825,2,897.78
115,35,17470,2,331.24
116,35,16136,3,937.17
117,35,17542,3,278.89
118,35,19469,2,448.37
119,35,11466,1,971.76
120,36,15531,1,991.99
121,36,1066,2,529.57
122,37,7498,3,673.95
123,37,2905,2,106.68
124,38,16055,1,568.26
125,38,17707,1,338.89
126,38,11560,2,289.72
127,39,412,3,976.7
128,39,17001,1,799.17
129,40,10036,1,923.95
130,40,12304,1,901.85
131,40,2970,3,540.77
132,41,11737,1,753.52
133,41,7298,2,944.79
134,41,17422,1,599.83
135,42,8714,3,421.19
136,43,18425,1,507.32
137,43,3116,3,960.42
138,43,16518,3,583.05
139,43,2011,2,532.46
140,43,1227,1,678.62
141,44,15257,2,130.34
142,44,12132,3,976.11
143,44,7203,3,889.06
144,44,3473,1,326.45
145,44,13963,3,575.54
146,45,1954,3,399.55
147,45,15742,3,128.21
148,46,16963,3,63.34
149,46,16627,2,299.26
150,46,6545,2,891.44
151,47,10844,3,120.52
152,48,5998,1,266.24
153,48,13883,2,179.98
154,49,5992,2,358.99
155,49,16654,1,652.35
156,50,17858,1,752.43
157,50,12512,1,14.94
158,50,9727,2,952.37
159,51,13802,1,467.78
160,51,12808,1,387.41
161,52,5127,1,804.32
162,52,17659,1,397.04
163,52,686,1,901.49
164,52,10405,1,661.42
165,52,14313,1,839.39
166,53,19968,1,979.18
167,53,5518,3,317.32
168,53,2538,1,712.13
169,54,5086,1,676.38
170,54,733,2,63.56
171,54,1244,1,592.14
172,55,8476,1,251.03
173,55,11971,2,468.08
174,55,4982,2,520.3
175,55,3034,2,579.23
176,56,16627,2,299.26
177,56,3714,2,152.01
178,56,1003,3,208.88
179,56,8696,1,899.62
