order_id,customer_id,delivery_address_id,order_date,status,total_amount
1,10248,14704,2023-09-30 17:53:54,Processando,8801.31
2,573,19786,2024-03-01 16:37:17,Enviado,8067.04
3,9659,5166,2023-11-21 09:56:10,Entregue,6424.07
4,4696,8613,2024-11-11 18:03:39,Enviado,2761.89
5,12285,6525,2024-12-05 11:19:02,Cancelado,1706.21
6,9131,9964,2024-08-16 21:10:13,Entregue,3328.49
7,5048,682,2024-07-16 03:47:13,Processando,2180.14
8,6125,10204,2024-09-14 18:42:22,Enviado,1504.5
9,5090,16149,2025-05-11 09:19:31,Entregue,2175.8
10,491,8825,2024-08-11 11:59:18,Processando,5191.47
11,2881,15186,2024-12-27 16:34:42,Processando,5396.91
12,9209,1405,2024-09-01 20:09:34,Cancelado,2255.31
13,10394,8173,2025-01-12 06:30:50,Processando,6347.66
14,236,7693,2023-12-05 14:57:09,Enviado,5192.31
15,5379,18566,2024-08-12 06:10:52,Cancelado,1871.72
16,4856,15195,2024-10-31 02:21:34,Cancelado,1607.83
17,2301,7413,2024-08-06 12:17:47,Enviado,4685.47
18,2399,8816,2023-07-03 12:49:27,Cancelado,7724.83
19,15137,19310,2023-09-18 07:28:50,Processando,3171.5
20,8384,10380,2025-02-14 05:57:40,Entregue,3088.92
21,9718,11167,2024-05-14 02:25:38,Enviado,1336.86
22,4502,10127,2024-09-05 22:28:35,Enviado,1046.48
23,19178,9990,2023-09-09 22:40:28,Entregue,2431.42
24,16372,3721,2023-08-06 05:14:52,Cancelado,5618.7
25,3587,1743,2024-04-12 14:02:18,Cancelado,4707.1
26,3123,19051,2025-03-23 17:02:14,Cancelado,4987.59
27,12075,656,2023-07-19 19:21:21,Enviado,636.99
28,4119,6098,2023-08-10 00:19:43,Entregue,1414.26
29,15702,8087,2025-06-04 05:30:23,Entregue,2345.61
30,2139,10591,2023-08-08 00:56:16,Enviado,4143.58
31,10058,6289,2024-09-06 13:30:24,Cancelado,2112.0
32,8017,19621,2025-01-26 11:56:18,Cancelado,5716.45
33,18644,11872,2024-09-21 04:04:11,Enviado,279.34
34,4395,11336,2025-02-02 12:18:19,Processando,1795.56
35,14497,16582,2023-07-18 02:32:29,Enviado,6179.16
36,19986,13517,2024-07-27 14:06:03,Processando,2051.13
37,12857,13349,2024-08-26 00:17:30,Entregue,2235.21
38,10665,6619,2025-02-11 10:36:07,Processando,1486.59
39,14722,7783,2023-08-10 08:32:40,Entregue,3729.27
40,16917,6276,2023-12-20 15:38:23,Enviado,3448.11
41,8450,5609,2024-10-28 02:45:49,Cancelado,3242.93
42,10151,1971,2025-04-16 08:52:29,Processando,1263.57
43,2022,1470,2023-07-11 00:04:44,Processando,6881.27
44,11639,12804,2024-11-13 22:30:39,Cancelado,7909.26
45,3802,11227,2024-12-13 23:56:00,Cancelado,1583.28
46,5856,11194,2023-07-07 14:20:47,Cancelado,2571.42
47,4302,866,2023-12-17 11:10:31,Processando,361.56
48,19308,19681,2023-09-29 10:27:47,Processando,626.2
49,7454,13487,2024-08-15 16:32:05,Entregue,1370.33
50,17606,18415,2025-05-08 01:02:01,Processando,2672.11
51,1662,12601,2025-06-08 19:08:15,Cancelado,855.19
52,18529,8717,2024-02-04 13:18:19,Processando,3603.66
53,11174,6317,2024-04-09 05:38:48,Cancelado,2643.27
54,8863,14565,2025-05-26 04:59:52,Enviado,1395.64
55,1737,3246,2025-03-12 03:22:07,Enviado,3386.25
56,5608,3076,2023-09-16 01:07:57,Entregue,2428.8
57,19419,10876,2025-01-11 23:11:39,Enviado,4767.11
58,3163,7483,2024-01-25 04:17:10,Processando,241.11
59,8886,7419,2023-10-13 17:00:39,Enviado,4405.15
60,16946,14483,2024-05-09 07:23:41,Entregue,418.04
61,5042,4331,2023-12-22 17:19:44,Enviado,2342.59
62,10456,5993,2024-06-20 20:39:07,Cancelado,1707.78
63,4389,19774,2024-10-12 22:05:56,Enviado,1496.96
64,17969,14815,2024-09-20 17:58:42,Entregue,2594.99
65,4604,15739,2023-12-04 16:23:15,Entregue,1997.46
66,8444,7107,2025-04-25 02:32:54,Processando,7560.14
67,18728,14650,2023-11-12 16:57:31,Enviado,3228.04
68,3236,3758,2024-07-23 22:11:39,Enviado,1625.24
69,7895,12685,2024-08-30 05:20:32,Cancelado,1190.0
70,581,19964,2024-05-22 00:19:18,Processando,3098.88
71,14917,5148,2024-11-02 12:08:23,Processando,5520.52
72,15667,3940,2024-06-02 12:01:24,Entregue,5521.04
73,476,8854,2025-01-10 04:01:14,Cancelado,3560.8
74,18644,8588,2024-06-02 07:18:33,Processando,3849.4
75,17065,18852,2025-02-10 05:17:13,Processando,718.3
76,17988,14836,2023-06-21 20:00:13,Processando,7505.25
77,14658,10147,2024-07-14 20:04:14,Entregue,5166.39
78,9586,15720,2025-05-10 21:13:31,Cancelado,4813.35
79,14783,1300,2024-04-11 01:23:31,Processando,4569.36
80,6232,9182,2025-06-02 08:37:25,Enviado,559.51
81,6140,15466,2024-06-16 08:52:33,Processando,3543.42
82,9523,2333,2023-09-06 08:22:42,Enviado,2740.4
83,10901,13,2025-02-25 02:02:24,Entregue,126.71
84,11808,9674,2023-12-28 18:01:25,Processando,3094.5
85,19572,17972,2024-02-02 00:41:09,Enviado,3489.69
86,10539,14917,2023-07-20 17:47:11,Entregue,1603.5
87,16687,10276,2023-11-11 10:30:28,Cancelado,3604.08
88,11028,11455,2024-09-04 04:33:24,Enviado,1174.1
89,12926,11068,2025-02-16 02:02:26,Cancelado,682.5
90,598,13602,2025-03-23 23:00:55,Cancelado,1340.82
91,6068,14451,2024-09-14 01:15:29,Processando,5004.69
92,6116,6203,2024-11-04 19:18:29,Entregue,3705.22
93,11156,13760,2023-11-24 16:14:05,Entregue,1818.06
94,10331,3492,2024-09-22 09:06:15,Cancelado,4704.97
95,2770,3563,2024-07-10 15:23:06,Cancelado,1923.23
96,17093,11560,2023-08-27 22:55:32,Cancelado,879.28
