payment_id,order_id,payment_method,payment_status,payment_date
1,1,Pix,Recusado,2023-09-30 18:32:54
2,2,Cartão de Crédito,Pendente,2024-03-01 17:02:17
3,3,Pix,Aprovado,2023-11-21 10:47:10
4,4,Cartão de Crédito,Recusado,2024-11-11 18:04:39
5,5,Cartão de Crédito,Aprovado,2024-12-05 11:49:02
6,6,Boleto,Recusado,2024-08-16 21:13:13
7,7,Cartão de Crédito,Aprovado,2024-07-16 04:07:13
8,8,Cartão de Crédito,Recusado,2024-09-14 19:12:22
9,9,Pix,Pendente,2025-05-11 09:39:31
10,10,Pix,Aprovado,2024-08-11 12:39:18
11,11,Cartão de Crédito,Recusado,2024-12-27 17:17:42
12,12,Cartão de Crédito,Recusado,2024-09-01 20:40:34
13,13,Pix,Pendente,2025-01-12 06:39:50
14,14,Boleto,Recusado,2023-12-05 15:37:09
15,15,Pix,Aprovado,2024-08-12 06:31:52
16,16,Pix,Aprovado,2024-10-31 02:38:34
17,17,Cartão de Crédito,Recusado,2024-08-06 12:30:47
18,18,Pix,Aprovado,2023-07-03 13:29:27
19,19,Pix,Recusado,2023-09-18 07:46:50
20,20,Boleto,Pendente,2025-02-14 06:57:40
21,21,Pix,Recusado,2024-05-14 03:24:38
22,22,Pix,Recusado,2024-09-05 22:34:35
23,23,Cartão de Crédito,Recusado,2023-09-09 23:40:28
24,24,Pix,Pendente,2023-08-06 05:31:52
25,25,Boleto,Recusado,2024-04-12 15:02:18
26,26,Boleto,Pendente,2025-03-23 17:34:14
27,27,Cartão de Crédito,Aprovado,2023-07-19 20:01:21
28,28,Boleto,Aprovado,2023-08-10 00:55:43
29,29,Pix,Aprovado,2025-06-04 05:34:23
30,30,Pix,Pendente,2023-08-08 01:17:16
31,31,Pix,Pendente,2024-09-06 14:12:24
32,32,Cartão de Crédito,Recusado,2025-01-26 11:59:18
33,33,Cartão de Crédito,Aprovado,2024-09-21 04:13:11
34,34,Cartão de Crédito,Recusado,2025-02-02 12:29:19
35,35,Pix,Pendente,2023-07-18 02:40:29
36,36,Boleto,Aprovado,2024-07-27 14:33:03
37,37,Pix,Pendente,2024-08-26 00:27:30
38,38,Pix,Recusado,2025-02-11 11:18:07
39,39,Pix,Recusado,2023-08-10 09:31:40
40,40,Pix,Pendente,2023-12-20 16:24:23
41,41,Cartão de Crédito,Pendente,2024-10-28 02:57:49
42,42,Boleto,Pendente,2025-04-16 09:00:29
43,43,Pix,Pendente,2023-07-11 00:53:44
44,44,Cartão de Crédito,Pendente,2024-11-13 23:23:39
45,45,Boleto,Recusado,2024-12-14 00:14:00
46,46,Pix,Aprovado,2023-07-07 14:43:47
47,47,Boleto,Aprovado,2023-12-17 12:09:31
48,48,Boleto,Aprovado,2023-09-29 11:13:47
49,49,Pix,Aprovado,2024-08-15 17:13:05
50,50,Pix,Recusado,2025-05-08 01:41:01
51,51,Boleto,Aprovado,2025-06-08 20:07:15
52,52,Pix,Recusado,2024-02-04 14:17:19
53,53,Cartão de Crédito,Aprovado,2024-04-09 05:53:48
54,54,Cartão de Crédito,Recusado,2025-05-26 05:32:52
55,55,Boleto,Pendente,2025-03-12 03:52:07
56,56,Pix,Aprovado,2023-09-16 01:46:57
57,57,Cartão de Crédito,Aprovado,2025-01-11 23:41:39
58,58,Boleto,Aprovado,2024-01-25 04:44:10
59,59,Cartão de Crédito,Pendente,2023-10-13 17:24:39
60,60,Cartão de Crédito,Recusado,2024-05-09 07:57:41
61,61,Cartão de Crédito,Aprovado,2023-12-22 17:43:44
62,62,Pix,Aprovado,2024-06-20 21:32:07
63,63,Pix,Recusado,2024-10-12 22:11:56
64,64,Boleto,Recusado,2024-09-20 18:58:42
65,65,Cartão de Crédito,Recusado,2023-12-04 16:39:15
66,66,Pix,Recusado,2025-04-25 02:33:54
67,67,Boleto,Pendente,2023-11-12 17:49:31
68,68,Boleto,Aprovado,2024-07-23 22:41:39
69,69,Cartão de Crédito,Aprovado,2024-08-30 05:34:32
70,70,Pix,Pendente,2024-05-22 00:46:18
71,71,Boleto,Pendente,2024-11-02 12:30:23
72,72,Boleto,Recusado,2024-06-02 12:21:24
73,73,Cartão de Crédito,Pendente,2025-01-10 04:35:14
74,74,Cartão de Crédito,Aprovado,2024-06-02 07:54:33
75,75,Cartão de Crédito,Recusado,2025-02-10 05:26:13
76,76,Cartão de Crédito,Pendente,2023-06-21 20:43:13
77,77,Cartão de Crédito,Aprovado,2024-07-14 20:59:14
78,78,Cartão de Crédito,Pendente,2025-05-10 21:41:31
79,79,Pix,Recusado,2024-04-11 01:59:31
80,80,Boleto,Aprovado,2025-06-02 09:21:25
81,81,Pix,Recusado,2024-06-16 09:10:33
82,82,Boleto,Recusado,2023-09-06 08:48:42
83,83,Boleto,Pendente,2025-02-25 02:35:24
84,84,Boleto,Recusado,2023-12-28 18:56:25
85,85,Cartão de Crédito,Aprovado,2024-02-02 00:55:09
86,86,Cartão de Crédito,Pendente,2023-07-20 18:29:11
87,87,Cartão de Crédito,Pendente,2023-11-11 11:27:28
88,88,Pix,Pendente,2024-09-04 05:13:24
89,89,Boleto,Pendente,2025-02-16 03:00:26
90,90,Pix,Pendente,2025-03-23 23:17:55
91,91,Boleto,Recusado,2024-09-14 01:59:29
92,92,Boleto,Recusado,2024-11-04 20:05:29
93,93,Pix,Aprovado,2023-11-24 16:23:05
94,94,Cartão de Crédito,Pendente,2024-09-22 09:29:15
95,95,Cartão de Crédito,Pendente,2024-07-10 15:33:06
96,96,Cartão de Crédito,Recusado,2023-08-27 23:33:32
97,97,Pix,Recusado,2025-01-16 16:35:07
98,98,Cartão de Crédito,Aprovado,2025-05-04 17:19:09
99,99,Pix,Recusado,2024-05-07 02:38:56
100,100,Pix,Pendente,2024-12-06 14:47:59
101,101,Pix,Pendente,2024-07-24 00:01:14
102,102,Boleto,Recusado,2025-03-19 18:12:51
103,103,Cartão de Crédito,Recusado,2024-09-16 12:37:22
104,104,Pix,Aprovado,2024-12-12 09:23:43
105,105,Boleto,Pendente,2023-10-29 15:16:07
106,106,Pix,Aprovado,2024-04-25 03:28:29
107,107,Boleto,Pendente,2023-10-19 04:45:25
108,108,Cartão de Crédito,Recusado,2024-04-16 01:49:32
109,109,Pix,Aprovado,2023-10-21 05:47:35
110,110,Pix,Pendente,2024-06-24 23:59:07
111,111,Boleto,Pendente,2025-06-05 13:06:26
112,112,Cartão de Crédito,Recusado,2023-10-16 15:47:53
113,113,Boleto,Aprovado,2023-11-26 16:23:49
114,114,Pix,Pendente,2024-10-19 00:15:32
115,115,Cartão de Crédito,Pendente,2024-08-14 22:19:54
116,116,Boleto,Pendente,2025-01-30 14:26:12
117,117,Cartão de Crédito,Aprovado,2024-04-07 02:29:33
118,118,Boleto,Recusado,2024-09-13 04:51:34
119,119,Cartão de Crédito,Aprovado,2023-11-07 06:12:43
120,120,Boleto,Pendente,2024-06-25 05:06:58
121,121,Cartão de Crédito,Pendente,2024-03-03 10:08:03
122,122,Pix,Pendente,2023-09-24 01:44:16
123,123,Pix,Aprovado,2023-09-03 12:33:43
124,124,Boleto,Pendente,2024-11-29 13:02:18
125,125,Pix,Aprovado,2024-03-06 05:28:10
126,126,Boleto,Recusado,2025-03-25 16:10:44
127,127,Pix,Aprovado,2024-02-10 20:36:25
128,128,Cartão de Crédito,Aprovado,2024-08-22 06:34:07
129,129,Cartão de Crédito,Recusado,2024-09-26 08:11:26
130,130,Cartão de Crédito,Pendente,2024-03-11 19:15:16
131,131,Boleto,Recusado,2024-06-18 21:30:25
132,132,Pix,Recusado,2024-09-20 05:40:39
133,133,Cartão de Crédito,Aprovado,2024-01-31 19:28:09
134,134,Cartão de Crédito,Aprovado,2024-08-15 21:36:43
135,135,Pix,Recusado,2025-05-18 03:05:41
136,136,Cartão de Crédito,Recusado,2024-08-06 03:22:59
137,137,Cartão de Crédito,Aprovado,2025-03-10 03:35:19
138,138,Cartão de Crédito,Recusado,2024-01-14 18:17:46
139,139,Boleto,Pendente,2024-05-01 12:13:26
140,140,Pix,Aprovado,2024-12-10 04:32:13
141,141,Boleto,Pendente,2023-10-11 20:43:41
142,142,Pix,Pendente,2024-08-28 08:23:14
143,143,Boleto,Pendente,2024-08-02 02:52:30
144,144,Cartão de Crédito,Aprovado,2024-06-24 03:55:13
145,145,Pix,Pendente,2024-06-26 03:26:05
146,146,Boleto,Aprovado,2024-07-25 15:18:25
147,147,Boleto,Pendente,2024-02-24 16:40:02
148,148,Cartão de Crédito,Recusado,2024-06-12 21:01:50
149,149,Boleto,Recusado,2023-12-03 01:34:39
150,150,Pix,Pendente,2023-10-20 05:28:32
151,151,Pix,Pendente,2023-10-21 06:57:09
152,152,Boleto,Pendente,2025-04-21 13:51:31
153,153,Cartão de Crédito,Recusado,2024-10-04 03:49:19
154,154,Pix,Recusado,2024-02-29 04:26:28
155,155,Boleto,Pendente,2024-05-21 22:42:13
156,156,Cartão de Crédito,Pendente,2023-07-31 07:31:06
157,157,Cartão de Crédito,Pendente,2024-04-12 09:40:49
158,158,Pix,Pendente,2024-03-06 08:45:13
159,159,Pix,Pendente,2025-04-01 03:59:23
160,160,Cartão de Crédito,Recusado,2024-10-04 14:09:23
161,161,Cartão de Crédito,Aprovado,2025-01-12 22:40:11
162,162,Pix,Pendente,2024-01-17 09:24:32
163,163,Cartão de Crédito,Aprovado,2023-10-12 20:56:52
164,164,Boleto,Recusado,2023-08-09 05:42:34
165,165,Cartão de Crédito,Recusado,2023-07-08 15:07:10
166,166,Boleto,Recusado,2024-12-24 14:20:24
167,167,Pix,Aprovado,2024-09-15 12:32:57
168,168,Cartão de Crédito,Pendente,2023-12-06 00:12:58
169,169,Cartão de Crédito,Pendente,2024-05-19 16:58:15
170,170,Boleto,Pendente,2024-06-02 18:26:55
171,171,Cartão de Crédito,Pendente,2025-03-20 05:08:16
172,172,Pix,Recusado,2024-08-14 19:24:04
173,173,Pix,Pendente,2024-10-15 10:32:29
174,174,Cartão de Crédito,Pendente,2023-10-21 23:19:20
175,175,Cartão de Crédito,Recusado,2025-05-22 01:41:18
176,176,Boleto,Aprovado,2024-03-28 02:36:43
177,177,Pix,Aprovado,2025-03-09 00:57:53
178,178,Cartão de Crédito,Pendente,2024-07-05 17:29:51
179,179,Boleto,Aprovado,2024-02-22 10:00:40
180,180,Boleto,Aprovado,2023-07-22 12:22:59
181,181,Boleto,Aprovado,2024-11-10 19:52:20
182,182,Pix,Pendente,2024-08-22 15:23:37
183,183,Boleto,Aprovado,2024-09-14 13:50:42
184,184,Boleto,Recusado,2023-12-05 09:45:14
185,185,Cartão de Crédito,Pendente,2024-03-20 09:44:00
186,186,Boleto,Aprovado,2024-05-21 08:19:31
187,187,Cartão de Crédito,Aprovado,2023-11-17 21:37:02
188,188,Cartão de Crédito,Pendente,2025-02-01 20:33:41
189,189,Boleto,Aprovado,2024-01-26 01:05:16
190,190,Pix,Pendente,2025-04-07 12:04:44
191,191,Pix,Aprovado,2023-09-10 10:57:31
192,192,Cartão de Crédito,Pendente,2024-03-28 08:33:14
193,193,Boleto,Aprovado,2023-07-08 08:47:58
194,194,Pix,Aprovado,2024-04-19 22:37:11
195,195,Boleto,Aprovado,2024-08-23 20:59:28
196,196,Boleto,Recusado,2024-08-04 06:58:48
197,197,Boleto,Pendente,2025-01-22 21:25:12
198,198,Cartão de Crédito,Aprovado,2024-02-10 00:34:03
199,199,Cartão de Crédito,Aprovado,2025-03-10 04:32:13
200,200,Cartão de Crédito,Aprovado,2025-01-15 09:46:06
201,201,Boleto,Recusado,2023-11-08 18:58:10
202,202,Cartão de Crédito,Pendente,2024-07-05 15:21:45
203,203,Pix,Recusado,2023-12-26 14:46:26
204,204,Boleto,Aprovado,2025-02-17 07:13:28
205,205,Pix,Pendente,2023-11-27 06:20:56
206,206,Pix,Recusado,2024-12-31 18:57:33
207,207,Pix,Pendente,2025-06-01 23:04:36
208,208,Boleto,Aprovado,2025-04-15 09:37:18
209,209,Boleto,Aprovado,2024-01-15 22:20:55
210,210,Pix,Pendente,2024-03-22 11:36:46
211,211,Pix,Recusado,2024-12-10 18:44:34
212,212,Cartão de Crédito,Pendente,2023-10-21 16:56:06
213,213,Pix,Pendente,2024-02-25 15:50:49
214,214,Pix,Pendente,2023-12-04 01:21:17
215,215,Pix,Recusado,2023-07-21 12:16:54
216,216,Pix,Aprovado,2025-02-10 21:05:41
217,217,Pix,Recusado,2023-10-10 21:26:26
218,218,Cartão de Crédito,Pendente,2024-10-22 15:03:46
219,219,Pix,Aprovado,2024-12-15 14:58:51
220,220,Cartão de Crédito,Pendente,2024-06-10 13:32:41
221,221,Pix,Pendente,2025-06-04 07:50:42
222,222,Boleto,Recusado,2023-12-28 13:03:07
223,223,Cartão de Crédito,Recusado,2023-06-21 02:31:28
224,224,Boleto,Recusado,2024-09-24 04:44:29
225,225,Pix,Recusado,2024-07-17 06:25:35
226,226,Cartão de Crédito,Recusado,2024-11-16 16:44:49
227,227,Boleto,Recusado,2023-09-02 19:08:13
228,228,Cartão de Crédito,Pendente,2024-11-27 06:29:31
229,229,Cartão de Crédito,Aprovado,2025-03-07 20:13:53
230,230,Boleto,Pendente,2023-11-12 07:45:49
231,231,Pix,Aprovado,2025-04-08 13:00:45
232,232,Pix,Pendente,2023-09-17 04:22:18
233,233,Pix,Aprovado,2024-11-20 09:53:43
234,234,Boleto,Aprovado,2023-09-01 15:11:00
235,235,Pix,Recusado,2024-10-22 17:59:25
236,236,Boleto,Aprovado,2024-05-27 00:06:52
237,237,Boleto,Recusado,2023-06-24 21:03:43
238,238,Cartão de Crédito,Aprovado,2024-12-14 01:23:48
239,239,Pix,Pendente,2023-12-31 06:06:49
240,240,Pix,Pendente,2024-08-19 18:38:32
241,241,Boleto,Pendente,2025-01-14 19:03:37
242,242,Boleto,Recusado,2023-07-18 03:24:52
243,243,Pix,Aprovado,2024-11-22 00:47:14
244,244,Boleto,Recusado,2024-11-30 05:33:47
245,245,Pix,Pendente,2023-11-29 11:48:30
246,246,Boleto,Recusado,2023-10-21 08:59:40
247,247,Cartão de Crédito,Recusado,2023-10-24 16:36:18
248,248,Boleto,Pendente,2024-11-27 13:25:43
249,249,Pix,Recusado,2024-09-29 03:43:08
250,250,Cartão de Crédito,Aprovado,2023-10-10 23:11:16
251,251,Boleto,Aprovado,2024-07-01 14:01:01
252,252,Boleto,Recusado,2023-06-18 05:28:07
253,253,Boleto,Aprovado,2023-10-22 08:06:49
254,254,Cartão de Crédito,Aprovado,2024-06-01 21:32:31
255,255,Pix,Recusado,2023-12-04 08:13:23
256,256,Pix,Aprovado,2023-07-01 16:10:37
257,257,Cartão de Crédito,Recusado,2024-06-14 08:09:04
258,258,Cartão de Crédito,Recusado,2023-08-02 09:14:58
259,259,Cartão de Crédito,Aprovado,2023-12-17 06:30:40
260,260,Pix,Pendente,2024-12-07 21:07:44
261,261,Cartão de Crédito,Pendente,2025-05-27 20:11:57
262,262,Cartão de Crédito,Aprovado,2023-09-21 20:15:18
263,263,Pix,Pendente,2023-09-28 07:29:32
264,264,Cartão de Crédito,Aprovado,2025-04-03 09:17:44
265,265,Boleto,Recusado,2025-02-03 06:30:55
266,266,Boleto,Aprovado,2023-08-03 19:11:59
267,267,Boleto,Pendente,2023-07-02 02:14:09
268,268,Pix,Aprovado,2023-12-08 13:40:19
269,269,Boleto,Aprovado,2024-03-15 17:43:49
270,270,Boleto,Pendente,2025-03-04 06:45:20
271,271,Pix,Pendente,2023-09-25 12:22:31
272,272,Cartão de Crédito,Aprovado,2024-05-17 13:17:48
273,273,Boleto,Pendente,2023-11-16 19:29:33
274,274,Boleto,Aprovado,2024-06-02 11:39:20
275,275,Boleto,Recusado,2024-01-20 08:37:57
276,276,Boleto,Recusado,2024-12-07 03:40:35
277,277,Cartão de Crédito,Pendente,2023-07-18 01:47:53
278,278,Boleto,Aprovado,2024-06-08 10:13:44
279,279,Cartão de Crédito,Aprovado,2023-12-10 08:18:38
280,280,Cartão de Crédito,Pendente,2023-10-05 11:14:25
281,281,Boleto,Aprovado,2025-04-03 05:57:10
282,282,Cartão de Crédito,Aprovado,2023-10-14 09:47:23
283,283,Boleto,Pendente,2023-09-04 00:38:12
284,284,Boleto,Aprovado,2024-03-08 07:42:11
285,285,Cartão de Crédito,Recusado,2025-06-09 12:05:08
286,286,Boleto,Aprovado,2024-08-24 21:08:24
287,287,Pix,Aprovado,2024-01-16 12:36:11
288,288,Pix,Aprovado,2024-07-04 02:09:48
289,289,Cartão de Crédito,Recusado,2025-01-31 15:40:19
290,290,Pix,Aprovado,2024-06-18 23:55:23
291,291,Pix,Pendente,2024-02-11 12:34:25
292,292,Boleto,Pendente,2023-10-11 16:11:18
293,293,Pix,Aprovado,2024-12-17 09:19:57
294,294,Boleto,Aprovado,2025-01-04 19:43:07
295,295,Boleto,Aprovado,2024-06-13 07:54:21
296,296,Pix,Recusado,2025-01-11 11:51:38
297,297,Cartão de Crédito,Aprovado,2025-03-27 00:48:14
298,298,Pix,Pendente,2023-10-14 17:36:42
299,299,Cartão de Crédito,Recusado,2024-08-14 18:29:35
300,300,Boleto,Recusado,2023-12-13 08:00:42
301,301,Pix,Aprovado,2024-09-16 15:57:07
302,302,Boleto,Pendente,2025-02-16 20:30:20
303,303,Boleto,Recusado,2025-01-29 14:03:07
304,304,Cartão de Crédito,Pendente,2024-09-10 23:57:46
305,305,Cartão de Crédito,Recusado,2025-05-18 15:41:02
306,306,Boleto,Recusado,2025-06-04 09:17:04
307,307,Boleto,Aprovado,2023-10-10 20:33:32
308,308,Boleto,Pendente,2024-12-25 14:28:25
309,309,Pix,Recusado,2024-04-30 15:14:54
310,310,Cartão de Crédito,Aprovado,2024-11-27 07:03:04
311,311,Boleto,Aprovado,2024-10-15 13:45:25
312,312,Pix,Aprovado,2025-05-02 02:24:20
313,313,Pix,Aprovado,2024-07-02 19:22:28
314,314,Cartão de Crédito,Pendente,2023-09-24 05:27:12
315,315,Pix,Pendente,2023-10-28 02:43:10
316,316,Pix,Aprovado,2024-11-12 02:33:17
317,317,Boleto,Pendente,2024-01-03 16:59:16
318,318,Boleto,Pendente,2024-01-24 05:19:47
319,319,Cartão de Crédito,Pendente,2025-03-23 18:54:08
320,320,Boleto,Aprovado,2023-08-17 16:20:05
