product_id,category_id,supplier_id,product_name,description,price,stock_quantity
1,1,38,A certeza de ganhar sem preocupação,Quae id inventore ullam est. Ullam commodi ea autem.,545.1,429
2,2,78,A simplicidade de inovar antes de tudo,Exercitationem ab aspernatur temporibus numquam dolor assumenda. Enim beatae nesciunt quas voluptas. Officiis amet sit consequuntur minus.,384.51,187
3,6,72,O prazer de conseguir mais rapidamente,Ipsum itaque impedit dolorem. Excepturi error eligendi laudantium.,221.06,205
4,5,74,O direito de concretizar seus projetos sem preocupação,Consequatur aperiam temporibus sequi numquam praesentium eum. Esse dicta non excepturi eveniet aspernatur eaque nam. Tempore odio occaecati nemo.,795.13,377
5,8,28,A certeza de ganhar em estado puro,Pariatur dolore neque necessitatibus. Distinctio nihil pariatur cum nulla.,651.43,197
6,1,86,A simplicidade de realizar seus sonhos com confiança,Tempore inventore consequuntur sed. Molestias architecto inventore architecto nihil eum expedita. Sapiente ratione magni voluptas.,265.75,59
7,2,13,A arte de evoluir mais rapidamente,Odio deserunt fuga illo. Mollitia occaecati ad quos voluptatem fugit veniam.,751.31,80
8,8,11,O direito de conseguir antes de tudo,Est et delectus iste. Sed saepe suscipit molestias tempora at.,647.6,272
9,4,78,O direito de atingir seus objetivos mais rapidamente,Perferendis velit perferendis blanditiis rerum ipsum totam. Nisi unde iure ducimus ratione. Laudantium quod ut molestiae ipsum dolorem ullam.,411.71,209
10,5,78,A segurança de inovar direto da fonte,Perspiciatis quis quos repellat ducimus numquam dolores. Odio blanditiis occaecati beatae eligendi illo.,314.82,496
11,3,16,A certeza de ganhar antes de tudo,Vitae explicabo quaerat velit saepe consectetur. Veniam itaque mollitia quis sapiente mollitia minus.,538.02,162
12,3,46,O conforto de conseguir com toda a tranquilidade,Adipisci itaque odio. Cumque provident sunt similique.,145.85,194
13,7,58,O conforto de inovar naturalmente,Aliquid hic ullam consectetur quas illo eaque aperiam. Ipsam fugiat necessitatibus magni minima.,394.11,306
14,2,55,O direito de evoluir com toda a tranquilidade,Provident ad molestias. Aspernatur aspernatur autem consequuntur laborum.,758.89,13
15,8,12,A segurança de concretizar seus projetos com confiança,Corrupti ipsum illo maxime corrupti. Quas in voluptatibus velit id odit fuga autem. Nam incidunt rem dolore ipsum.,746.97,81
16,5,75,O prazer de evoluir em estado puro,Perspiciatis earum sed cumque quae quia itaque. Odit ducimus tempore asperiores.,964.92,358
17,6,19,O conforto de conseguir com confiança,Quod doloribus et. Fugit inventore nesciunt ad.,830.85,274
18,5,51,O prazer de conseguir com confiança,Possimus voluptatibus repellat dolorem. Temporibus itaque voluptas.,331.56,334
19,7,95,A certeza de realizar seus sonhos mais facilmente,Quos nesciunt recusandae ratione dignissimos. Quae occaecati occaecati sint. Neque accusamus laudantium accusamus placeat culpa.,240.9,70
20,3,31,A liberdade de atingir seus objetivos em estado puro,Corporis laborum quos perferendis beatae temporibus. Necessitatibus suscipit quod vitae minus occaecati voluptatibus ullam.,281.98,489
21,6,69,A liberdade de ganhar mais rapidamente,Fugit dolor officia soluta. Vero consectetur ipsa.,282.34,357
22,3,31,A liberdade de atingir seus objetivos antes de tudo,Sed quas rerum eius eaque ex. Nobis tempora itaque vero molestiae atque. Magni impedit tenetur ad debitis.,287.42,65
23,5,95,O poder de realizar seus sonhos com força total,Ipsum iste vitae architecto sed autem veniam. Consectetur aliquid distinctio exercitationem earum aliquid corporis.,314.16,40
24,2,29,O conforto de realizar seus sonhos em estado puro,Similique veniam nobis dolor. Voluptatibus ullam consequatur similique quidem iusto consequuntur.,115.75,61
25,8,82,O prazer de inovar antes de tudo,Laboriosam dignissimos ducimus sunt. Aut repellendus quod est. Possimus recusandae vel sunt molestiae sunt.,198.69,362
