review_id,product_id,customer_id,rating,comment,review_date
1,4815,18435,1,"Quis aperiam ut aut excepturi pariatur. Quod iste molestiae aperiam vitae consequatur. Nesciunt dicta distinctio aperiam harum provident quia.
Laborum mollitia vel a explicabo eaque.",2024-04-03 11:34:17
2,5953,14443,3,"Excepturi blanditiis nisi repellat. Suscipit neque recusandae optio culpa alias.
Ullam dolor dignissimos totam pariatur illo. Culpa alias delectus. Eos beatae aspernatur laboriosam quos laborum.",2025-04-29 04:36:56
3,14291,15060,1,"Iusto tenetur sit quasi. Nostrum quisquam quo maiores. Doloremque aperiam mollitia illo.
Magni quibusdam ad modi aliquid. Doloribus accusamus distinctio nulla non.",2025-03-13 08:50:26
4,1215,8647,3,"Vero distinctio nostrum vel. Amet reprehenderit praesentium commodi.
Tempora reprehenderit unde nobis asperiores quod.
Dolore voluptatibus error qui.",2023-08-06 11:16:58
5,2548,18609,3,"Expedita molestias autem iure. Architecto voluptatem molestiae. Veniam harum beatae soluta dolorem ea.
Porro facilis modi assumenda. Culpa nobis sed.",2025-05-30 04:11:29
6,9726,15369,1,"Sint dolorum dicta eos.
Nobis animi qui et quam perspiciatis. Quis illo laboriosam dolorem numquam nesciunt aliquam.",2023-06-22 16:03:58
7,14942,16080,1,Nihil vitae molestiae perspiciatis incidunt pariatur alias. Perspiciatis officia iste eveniet. Consequuntur voluptas placeat minima quae officia debitis.,2023-08-09 02:14:28
8,14278,3585,5,Commodi unde maiores cum. Aspernatur eligendi magni vitae accusantium. Asperiores inventore aspernatur inventore cum deleniti provident rerum.,2024-04-21 23:28:31
9,8727,9446,5,Deleniti odit excepturi quos minus rem. Quod sapiente neque eaque consequatur. Ipsam officia mollitia fugit tempora. Quis adipisci consequuntur optio libero repudiandae fugiat sed.,2025-02-23 13:58:40
10,11625,15493,2,"Pariatur facilis commodi officia in. Expedita quidem sed reprehenderit in eaque reiciendis.
Iusto asperiores impedit omnis accusamus impedit nobis quis. Numquam alias id officia odio laborum eveniet.",2023-10-15 14:46:29
11,593,2514,5,Vitae architecto rem soluta perferendis in. Quos sed doloribus architecto quo repellendus tenetur. Sed tenetur odio ad libero voluptatem. Quidem soluta aliquid fugiat totam.,2023-12-31 04:21:24
12,2672,11267,5,"Quibusdam voluptatibus molestias. Libero voluptates quod.
Nesciunt cum possimus praesentium. Omnis laboriosam fuga dolores voluptates officia odio. Ipsam explicabo neque.",2025-04-05 23:14:00
13,12778,2905,5,Vel maiores doloribus. Nam iure animi dolorem tempora odit. Voluptates repudiandae modi tenetur.,2025-05-22 13:49:46
14,3413,13415,2,Voluptate ex excepturi ipsum consequatur praesentium iusto. Accusantium aspernatur sed. Autem non temporibus eum ipsa ullam.,2024-01-22 00:46:09
15,4701,7144,3,"Porro iure tempora. Blanditiis asperiores eum totam quae ullam voluptate.
Vel rem non nobis a minus minima. Tempora nulla ea rerum. Delectus neque similique officiis amet.",2024-06-08 17:47:35
16,17714,3609,1,Voluptates delectus quasi quibusdam reiciendis nihil repellat inventore. Reiciendis perferendis repellendus quaerat quaerat deleniti.,2025-03-10 05:12:23
17,12560,3645,2,"Voluptatem blanditiis a maiores.
Tenetur quos facere quis beatae. Rerum totam ipsa dolor iusto voluptate omnis.",2023-10-27 04:36:25
18,13109,12951,4,Iusto delectus minima occaecati fugiat. Error labore ratione neque. Consequatur dolorum officiis impedit voluptas.,2024-03-21 06:04:10
19,13685,8719,2,Ex voluptatem ut reiciendis voluptatem. Delectus iusto asperiores unde doloremque in. Impedit reiciendis dignissimos sunt vero enim incidunt. Itaque voluptatem ut asperiores veniam neque dicta.,2025-02-12 00:31:41
20,6644,555,2,"Facere molestiae hic cumque. Amet quisquam debitis est sit.
Doloribus vero iure inventore modi aliquid. Officiis rem totam voluptatum. Omnis corporis veritatis voluptate commodi.",2024-09-09 02:20:32
21,9325,824,4,Explicabo sit laudantium similique unde voluptatum. Adipisci laboriosam architecto deserunt animi. Dolorem a illo autem.,2023-07-19 22:34:14
22,15149,19169,5,"Reiciendis eos voluptate non. Harum quae hic occaecati.
Eligendi alias atque accusantium. Libero voluptatum quibusdam temporibus.",2024-01-26 22:12:00
23,12153,6939,1,Enim animi animi consequatur facere voluptatum. Qui est alias earum repellat accusamus at. In maxime corrupti odit.,2025-02-02 19:18:41
24,11967,16419,5,Molestias fugit nihil occaecati. Illum deleniti quo qui ea illo culpa. Accusamus nobis error eos maiores. Recusandae incidunt ex perferendis iste ut.,2023-11-05 16:46:36
25,3503,15509,3,Maiores quia illo repellendus adipisci eveniet consequuntur. Placeat a voluptas nemo laudantium voluptatem eligendi praesentium. Aperiam ad natus nulla numquam impedit impedit.,2025-01-07 23:00:22
26,13174,10102,3,Aperiam dicta delectus molestiae. Excepturi saepe sed corporis maiores. Minus alias quas ipsa tempora maiores.,2024-05-07 20:01:01
27,4239,15679,4,"Earum odit suscipit quasi. Error eum quod blanditiis.
Doloremque recusandae repellat cum. Nostrum fugiat ad. Numquam harum expedita fuga.",2023-12-09 05:27:00
28,12258,14067,2,"Quam tenetur veniam dicta distinctio. Temporibus neque hic dolor quis.
Assumenda sint earum optio consequatur ex laboriosam. Magnam unde iste. Optio sit a debitis tenetur.",2024-03-07 21:25:45
29,11161,5777,3,Corrupti accusantium aspernatur consequatur porro distinctio perferendis corrupti. Corrupti magnam fugit dolorum necessitatibus sit ipsum.,2024-03-23 19:32:46
30,19294,3184,1,"Magni voluptatum ab optio. Mollitia quibusdam hic. Inventore quis quas voluptate quis.
Tempore non magnam odio. Repellat debitis porro mollitia doloribus deleniti consectetur.",2024-06-30 09:36:59
31,4928,9740,2,"Accusamus odio quas iste. Ducimus cupiditate ad harum dolor. Totam laborum sapiente.
Sunt consequatur recusandae ullam dicta rem. Mollitia deserunt sint consequuntur exercitationem error pariatur.",2025-02-08 22:46:33
32,12362,1164,4,"Deleniti cupiditate eos commodi ipsam. Voluptatem voluptatem numquam.
Sit id nobis at laborum. Quae aperiam et voluptatem necessitatibus ducimus. Commodi rerum debitis.",2024-10-10 07:41:28
33,7647,1714,1,"Velit eos vitae officia debitis repudiandae. Magnam porro nulla excepturi. Suscipit quam minima ab ad sit.
Suscipit hic fugit.
Illo unde et molestiae. Repellat possimus excepturi deserunt rerum.",2024-08-08 13:23:31
34,11846,5447,3,Nobis ex vero incidunt commodi illo magni. Minus reprehenderit sapiente vero amet ipsa iusto. Dolores ut tempora voluptatem.,2024-08-26 09:41:24
35,3461,16295,1,"Occaecati voluptatum eius nisi quam porro fugit. Unde dolores maiores dicta earum totam et quibusdam.
Omnis laborum consectetur laudantium tenetur.",2024-11-08 00:05:47
36,15620,15773,2,Laudantium a dicta aspernatur ipsa quas. Voluptates consequatur dolores inventore vero libero omnis. Unde necessitatibus est saepe ad quam.,2023-10-19 22:44:06
37,6616,14556,5,Molestias pariatur suscipit recusandae sapiente inventore exercitationem nesciunt. Sed quisquam non quibusdam recusandae ea illum.,2024-01-21 17:17:38
38,2140,12623,5,"Temporibus at accusamus sed assumenda ut. Quo aperiam maiores dignissimos saepe id earum.
In dicta nihil placeat vel laborum ipsum.",2023-08-24 16:13:07
39,7137,9508,1,Incidunt occaecati aliquam cupiditate. Eos tempora sunt soluta aperiam reiciendis libero.,2025-03-15 23:11:08
40,5542,9498,2,Facere dolorem incidunt iure. Dignissimos fugiat beatae doloremque tenetur soluta voluptates. Maxime dolore laudantium excepturi.,2024-02-19 07:12:21
41,16855,5102,2,Assumenda ad beatae reiciendis. Sit dolor vel. Eaque perspiciatis tempora quibusdam. Ad fuga repellendus.,2023-10-20 06:02:49
42,13675,3884,1,Amet asperiores fugiat aut soluta. Laudantium velit at beatae autem possimus.,2024-06-25 05:11:31
43,13697,13836,2,Totam deleniti id laudantium. Similique illo cumque quis.,2024-08-13 09:44:08
44,10515,9969,4,Excepturi consequatur unde recusandae quis molestias. Repudiandae velit id accusantium nisi sapiente. Cumque veritatis fuga harum quas.,2023-06-27 07:35:31
45,6677,8930,3,Iusto adipisci error non assumenda maxime voluptatum.,2024-07-02 21:06:49
46,10977,10541,2,"Reiciendis unde explicabo quidem. Sapiente vitae nemo corporis ratione consequuntur amet.
Unde quis ea. Magni est nihil aliquam fugit. Tempore quam ea iusto. Quia unde alias itaque dolorem culpa.",2023-12-16 00:37:55
47,14286,343,5,"Voluptatem officiis nisi mollitia cupiditate a magnam. Ullam dolor quibusdam.
Consequuntur veniam fugit officiis. Molestias veniam maxime quia fugit nemo.",2023-09-30 23:20:03
48,17189,19630,1,"Neque sed odit iusto aliquam nam. Ullam sint dolorem. Pariatur nam quam dicta.
Corrupti voluptas saepe qui cumque provident. Itaque repellat odit qui.",2023-07-28 06:32:23
